gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000235821.1,IFITM4P,5.725339396420644,0.02253101914461076,1.0322716057986456e-08,0.10928345310166346,0.118883213713439,0.000492769043668,NA,36,37,37
ENSG00000219392.1,RP1-265C24.5,4.973927822157405,0.017242640993712522,6.560974587095997e-07,0.1303251622956181,0.14209489682463,0.000163635411554812,NA,39,39,39
ENSG00000254507.2,RP11-481A20.10,4.541828599642763,0.012259523897956435,5.57683752174551e-06,0.2573648710025733,0.373136393795057,1.20526271089495e-11,NA,27,28,28
ENSG00000166682.6,TMPRSS5,-4.52553845429381,-0.012283850190887366,6.0241925782919086e-06,0.22724825197558304,0.457266768937878,7.1191436110976e-16,NA,12,12,12
ENSG00000178852.11,EFCAB13,-4.4708826783438305,-0.02114308045203229,7.789742454662669e-06,0.08689674891537325,0.0540997562935885,0.0228076036076634,NA,27,27,27
ENSG00000176998.3,HCG4,4.4605869601234325,0.01162072143060399,8.17354846098419e-06,0.2555710227790372,0.483899012785865,5.03247989726347e-17,NA,26,28,28
ENSG00000259715.1,CTD-3110H11.1,-4.442815679489458,-0.014687081238810965,8.878922489268149e-06,0.16062345034335423,0.256511960844299,8.26544563817112e-08,NA,16,16,16
ENSG00000084628.5,NKAIN1,4.434769699312881,0.022452388979194663,9.217076685718127e-06,0.0789268933371622,0.204239592574248,2.58736655070923e-06,NA,13,14,14
ENSG00000101104.8,PABPC1L,4.419540679213948,0.03260794656374513,9.891090242044291e-06,0.03472023974714418,0.0836284182612503,0.00456626372269586,NA,22,22,22
ENSG00000149485.12,FADS1,-4.388444965654631,-0.024223299007065862,1.1416401510499816e-05,0.060061562148564444,0.108248829303172,0.000785435668098511,NA,5,5,5
ENSG00000255098.1,RP11-481A20.11,4.37978491994607,0.02955148994550669,1.187965028767847e-05,0.039759948265007006,0.155659157013726,6.74012325103398e-05,NA,7,7,7
ENSG00000166788.5,SAAL1,4.358447748284962,0.014988265685824053,1.309881866968366e-05,0.14115076921862646,0.30681997235371,2.3246529513905e-09,NA,17,17,17
ENSG00000175749.11,EIF3KP1,4.326279085866479,0.022987901720984735,1.5164926204540602e-05,0.05847525919104905,0.11011284030233,0.000562117158884826,NA,43,44,44
ENSG00000255174.1,RP11-481A20.4,4.280175187936683,0.03591958376976665,1.867462544641863e-05,0.0263443882206648,0.0683004463433851,0.00768407668749187,NA,14,15,15
ENSG00000269883.1,AC007375.1,4.263770117940965,0.018985845385101726,2.010062442730663e-05,0.08833165879980553,0.204467864774399,2.49387986363063e-06,NA,7,7,7
ENSG00000109919.5,MTCH2,4.2391339403518,0.022694324130086055,2.2438375771420634e-05,0.055723798637853636,0.139953918526014,8.06082586523802e-05,NA,30,30,30
ENSG00000238083.3,LRRC37A2,-4.228200002460982,-0.011244717341616136,2.3556834648517174e-05,0.262168178349949,0.509574922438041,3.58458633766762e-18,NA,26,32,32
ENSG00000115138.6,POMC,-4.213509318204293,-0.019425921990371093,2.5143320904456372e-05,0.08540526045519099,0.0812504558771072,0.00358784617095708,NA,46,46,46
ENSG00000184647.6,PRSS55,-4.202021224246447,-0.020336178583802184,2.6454232394001942e-05,0.08347310073491133,0.14129710188552,4.13752459158778e-05,NA,13,13,13
ENSG00000204622.6,HLA-J,4.131844551275751,0.0127316704716634,3.598637645124913e-05,0.1787853811099833,0.21913593911085,1.2418257260563e-06,NA,71,86,86
ENSG00000204740.5,C10orf112,4.125231807022397,0.021640040849102902,3.703615385610161e-05,0.06269877783517769,0.0559158913016807,0.0211646105269541,NA,31,31,31
ENSG00000263503.1,RP11-707O23.5,-3.977585716772197,-0.022869684205176165,6.961852983229748e-05,0.05253436761297305,0.437525913563753,1.10711850211575e-15,NA,10,18,18
ENSG00000196666.3,FAM180B,3.9631908635805044,0.0171256796099866,7.395460903134501e-05,0.08008266686765347,0.139869816440424,0.00012445255652477,NA,11,12,12
ENSG00000187837.2,HIST1H1C,-3.948368288724692,-0.026210745444802317,7.868568823399582e-05,0.03927021037689826,0.062867565592372,0.0151158948923003,NA,16,17,17
ENSG00000264070.1,DND1P1,-3.898069620503304,-0.021898740210979657,9.696254273747509e-05,0.05039323847287491,0.377494037232618,1.65130734286773e-12,NA,18,24,24
ENSG00000228078.1,HLA-U,-3.8798410980415516,-0.023494390492312976,0.00010452472723802568,0.04759752531632485,0.214095169811766,1.94531921534703e-06,NA,11,12,12
ENSG00000255556.2,RP11-351I21.6,3.8582656719308805,0.014327843589367863,0.00011419448051748917,0.13459895752363898,0.155063839313256,7.03138750110324e-05,NA,22,25,25
ENSG00000213347.6,MXD3,-3.8330311752781503,-0.028291939560752568,0.00012657390549608498,0.0346897784480313,0.122677655498518,0.000328485486130239,NA,12,13,13
ENSG00000219626.4,FAM228B,3.8083041479490887,0.024689049371792744,0.00013992310580876,0.0395121089359496,0.0703693187729416,0.00824546517114655,NA,32,32,32
ENSG00000108264.12,TADA2A,3.7724860236090696,0.021269383354983813,0.00016162902296637302,0.056682359737254766,0.0872893736745722,0.00267499915536115,NA,17,17,17
ENSG00000262500.1,RP11-259G18.2,-3.7103907233604203,-0.013872760373952945,0.00020693960938557345,0.12003300975235753,0.395124084135725,3.8596718132495e-13,NA,9,13,13
ENSG00000216901.1,AL022393.7,-3.6871685141367747,-0.007004071878576726,0.0002267631989285998,0.4522813469333387,0.536306735649818,8.56619729150643e-19,NA,52,52,52
