ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000162512	SDC3	1	31342314	31381608	-1	protein_coding	9672	SDC3	0.527916180650144	NA	1	1.552	1.35976e-09	rs4642942	1
ENSG00000134644	PUM1	1	31404353	31538838	-1	protein_coding	9698	PUM1	0.999998854510137	-0.577721872	36	7.37	2.66763e-10	rs4642942	1
ENSG00000050628	PTGER3	1	71318036	71513491	-1	protein_coding	5733	PTGER3	0.787642828876607	0.387855602	11	20	2.79233e-08	rs6681755	3
ENSG00000132485	ZRANB2	1	71528974	71546980	-1	protein_coding	9406	ZRANB2	0.992881089843736	-1.317379468	5	11.06	1.08197e-08	rs6681755	3
ENSG00000183023	SLC8A1	2	40324410	40838193	-1	protein_coding	6546	SLC8A1	0.98820862479259	-0.302342325	36	13.93	9.35194e-09	rs374153	6
ENSG00000028116	VRK2	2	58134786	58387055	1	protein_coding	7444	VRK2	1.21621414925507e-08	-0.188348208	125	21.6	2.81861e-14	rs6717480;rs10496079;rs116380454;rs17227629;rs13018289;rs62141880	7
ENSG00000115392	FANCL	2	58386378	58468507	-1	protein_coding	55120	FANCL	2.09960326026736e-08	NA	17	18.41	1.60585e-13	rs10496079;rs13018289;rs62141880;rs116380454	7
ENSG00000125637	PSD4	2	113914902	113966973	1	protein_coding	23550	PSD4	0.805496070283155	-0.981757782	4	12.18	8.0919e-10	rs9098	8
ENSG00000125618	PAX8	2	113973574	114036527	-1	protein_coding	7849	PAX8	0.90212384293593	0.078698169	1	11.47	1.85395e-09	rs9098	8
ENSG00000075884	ARHGAP15	2	143848931	144525921	1	protein_coding	55843	ARHGAP15	5.25405675416054e-06	0.091515084	1	2.531	1.74607e-08	rs80071665	9
ENSG00000121964	GTDC1	2	144695635	145090135	-1	protein_coding	79712	GTDC1	2.40902542593717e-10	-0.787953168	1	2.183	4.44588e-05	rs79259656	9
ENSG00000144285	SCN1A	2	166845670	166984523	-1	protein_coding	6323	SCN1A	0.999999999535395	-0.513069946	103	19.17	5.80148e-09	rs34268282;rs4667876	10
ENSG00000073711	PPP2R3A	3	135684515	135866733	1	protein_coding	5523	PPP2R3A	0.920487875254504	-0.863679102	35	18.92	2.79463e-08	rs113021516	13
ENSG00000174579	MSL2	3	135867764	135916083	-1	protein_coding	55167	MSL2	0.889663741822694	-1.742045868	15	6.479	2.79463e-08	rs113021516	13
ENSG00000114054	PCCB	3	135969148	136056738	1	protein_coding	5096	PCCB	0.000735839433891269	-0.385160254	17	11.72	5.16426e-08	rs113021516	13
ENSG00000118007	STAG1	3	136055077	136471220	-1	protein_coding	10274	STAG1	0.999999910022904	-0.647637604	80	10.6	3.57855e-08	rs113021516	13
ENSG00000184305	CCSER1	4	91048686	92523064	1	protein_coding	401145	CCSER1	0.211350847441148	0.195161488	42	10.6	1.83355e-07	rs12501164	14
ENSG00000153064	BANK1	4	102332443	102995969	1	protein_coding	55024	BANK1	1.76433043896144e-10	-0.305250663	10	6.071	8.10762e-09	rs13109404;rs13107325	15
ENSG00000138821	SLC39A8	4	103172198	103352415	-1	protein_coding	64116	SLC39A8	0.891567478844834	-0.202749369	2	34	9.34341e-10	rs13107325	15
ENSG00000142319	SLC6A3	5	1392909	1445545	-1	protein_coding	6531	SLC6A3	0.99703690247797	1.187820773	15	8.369	2.85623e-08	rs40358;rs37021	16
ENSG00000145730	PAM	5	102089685	102366809	1	protein_coding	5066	PAM	0.0304443970438953	-0.280887422	135	18.83	3.22622e-08	rs6889592	17
ENSG00000145723	GIN1	5	102421704	102455855	-1	protein_coding	54826	GIN1	0.00667768191022757	0.344487424	105	16.84	4.0569e-06	rs6889592	17
ENSG00000145725	PPIP5K2	5	102455853	102548500	1	protein_coding	23262	PPIP5K2	4.05311854851164e-10	-0.150605083	85	15.43	1.82762e-06	rs6889592	17
ENSG00000181751	C5orf30	5	102594403	102614361	1	protein_coding	90355	C5orf30	0.778880851929595	-0.60460956	6	7.89	1.09151e-05	rs6889592	17
ENSG00000069018	TRPC7	5	135548999	135732730	-1	protein_coding	57113	TRPC7	0.00298615175665186	-0.37659987	36	19.89	7.48811e-09	rs180769	18
ENSG00000146109	ABT1	6	26597180	26600278	1	protein_coding	29777	ABT1	0.0271055673799205	0.104221009	6	4.549	6.96639e-09	rs4713036	19
ENSG00000181315	ZNF322	6	26636518	26659980	-1	protein_coding	79692	ZNF322	NA	-1.140467931	5	11.3	6.68214e-09	rs4713036	19
ENSG00000124635	HIST1H2BJ	6	27093676	27100541	-1	protein_coding	8970	HIST1H2BJ	0.47884211441258	0.308582046	4	10.81	1.27013e-09	rs142762132;rs7764984;rs9467978	19
ENSG00000196787	HIST1H2AG	6	27100832	27103070	1	protein_coding	8969	HIST1H2AG	0.000610464103704842	-0.741637225	2	0.413	1.27013e-09	rs9467978;rs7764984	19
ENSG00000197903	HIST1H2BK	6	27106073	27114619	-1	protein_coding	85236	HIST1H2BK	0.490754148427297	-0.043052263	5	3.436	7.4738e-10	rs7764984;rs9467978;rs36048693	19
ENSG00000198339	HIST1H4I	6	27107076	27108418	1	protein_coding	8294	HIST1H4I	0.446296012965993	-0.468005112	3	3.436	7.4738e-10	rs7764984;rs9467978;rs36048693	19
ENSG00000184825	HIST1H2AH	6	27114861	27115317	1	protein_coding	85235	HIST1H2AH	6.2950794420684e-05	0.194919981	4	3.436	7.4738e-10	rs7764984;rs36048693;rs9467978	19
ENSG00000112812	PRSS16	6	27215480	27224403	1	protein_coding	10279	PRSS16	2.23791834002529e-06	0.008848123	3	5.04	2.51149e-08	rs7764984;rs142762132	19
ENSG00000232040	SCAND3	6	28539407	28583989	-1	protein_coding	114821	SCAND3	9.70724396864633e-09	-0.785031462	11	4.329	1.20046e-09	rs34556183	20
ENSG00000204703	OR2B3	6	29053985	29055090	-1	protein_coding	442184	OR2B3	0.0013369321318042	0.458839963	1	0.108	1.03865e-06	rs34556183	20
ENSG00000204700	OR2J2	6	29141311	29142351	1	protein_coding	26707	OR2J2	0.0107267189301636	0.271259236	1	13.49	5.47907e-07	rs34556183	20
ENSG00000164483	SAMD3	6	130465460	130686570	-1	protein_coding	154075	SAMD3	1.09707510090606e-06	0.088198284	282	18.37	4.50308e-08	rs4897409	21
ENSG00000164484	TMEM200A	6	130686879	130764208	1	protein_coding	114801	TMEM200A	0.835246151685534	-0.080679932	34	15.44	7.25632e-08	rs4897409	21
ENSG00000002822	MAD1L1	7	1855429	2272878	-1	protein_coding	8379	MAD1L1	2.03780827176675e-10	-0.084462652	63	17.65	1.77961e-08	rs62444917	22
ENSG00000176349	AC110781.3	7	1878222	1889567	1	protein_coding	NA	NA	NA	NA	1	3.702	5.36557e-06	rs62444917	22
ENSG00000128573	FOXP2	7	113726382	114333827	1	protein_coding	93986	FOXP2	0.996178831092855	-0.404517141	169	16.94	1.69307e-11	rs1668331;rs35624276;rs4727799;rs10255943;rs10953765;rs4730640	23
ENSG00000106554	CHCHD3	7	132469629	132766848	-1	protein_coding	54927	CHCHD3	0.0404016311674061	-0.607228745	111	20.4	1.43093e-09	rs11982852	24
ENSG00000147324	MFHAS1	8	8640864	8751155	-1	protein_coding	9258	MFHAS1	2.22820045783843e-05	0.9551839	81	15.65	3.87347e-08	rs907183	25
