GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
2	rs915416	1	34750936	rs771390	2012-11-02	22949513	EPICURE Consortium	2012-09-04	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/22949513	Genome-wide association analysis of genetic generalized epilepsies implicates susceptibility loci at 1q43, 2p16.1, 2q22.3 and 17q21.32.	Epilepsy (generalized)	702 European ancestry genetic absence epilepsies cases, 586 European ancestry juvenile myoclonic epilepsy cases, 239 European ancestry other genetic generalized epilepsies cases, 2,461 European ancestry controls	347 European ancestry genetic absence epilepsies trios, 166 European ancestry juvenile myoclonic epilepsy trios, 91 European ancestry other genetic generalized epilepsies trios, 385 European ancestry genetic absence epilepsies cases, 382 European ancestry juvenile myoclonic epilepsy cases, 122 European ancestry other genetic generalized epilepsies cases, up to 889 European ancestry controls	1p35.1	C1orf94	LOC105378639			105378639			rs771390-C	rs771390	0	771390	intergenic_variant	0	0.757	6E-7	6.221848749616356	(All GGE)	1.22	[1.12-1.32]	Affymetrix [4560000] (imputed)	N
7	rs35577149	2	57923006	rs13012916	2018-02-23	29326435	Hill WD	2018-01-11	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29326435	A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.	Intelligence (MTAG)	120,934 British ancestry individuals, 127,548 individuals	NA	2p16.1	ENSG00000271615	LOC105377632			105377632			rs13012916-T	rs13012916	0	13012916	intergenic_variant	0	NR	2E-8	7.698970004336019		0.017165402	[0.011-0.023] unit decrease	Affymetrix [NR]	N
7	rs35577149	2	57934055	rs13026414	2012-11-02	22949513	EPICURE Consortium	2012-09-04	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/22949513	Genome-wide association analysis of genetic generalized epilepsies implicates susceptibility loci at 1q43, 2p16.1, 2q22.3 and 17q21.32.	Epilepsy (generalized)	702 European ancestry genetic absence epilepsies cases, 586 European ancestry juvenile myoclonic epilepsy cases, 239 European ancestry other genetic generalized epilepsies cases, 2,461 European ancestry controls	347 European ancestry genetic absence epilepsies trios, 166 European ancestry juvenile myoclonic epilepsy trios, 91 European ancestry other genetic generalized epilepsies trios, 385 European ancestry genetic absence epilepsies cases, 382 European ancestry juvenile myoclonic epilepsy cases, 122 European ancestry other genetic generalized epilepsies cases, up to 889 European ancestry controls	2p16.1	intergenic	LOC101927235, LOC105377632			101927235, 105377632			rs13026414-C	rs13026414	0	13026414	intergenic_variant	0	.576	2E-9	8.698970004336019	(All GGE)	1.23	[1.15-1.32]	Affymetrix [4560000] (imputed)	N
7	rs11682175	2	57987593	rs11682175	2015-04-16	25056061	Ripke S	2014-07-22	Nature	www.ncbi.nlm.nih.gov/pubmed/25056061	Biological insights from 108 schizophrenia-associated genetic loci.	Schizophrenia	32,405 European ancestry cases, 42,221 European ancestry controls, 1,235 European ancestry cases and 1,235 European ancestry controls from 1235 parent-offspring trios, 1,836 East Asian ancestry cases, 3,383 East Asian ancestry controls	1,513 European ancestry cases, 66,236 European ancestry controls	2p16.1	FANCL, VRK2	LOC105374697 - ACTG1P22	105374697	100131953		33549	4496	rs11682175-C	rs11682175	0	11682175	intron_variant	1	0.458	1E-11	11.0		1.0718113	[1.05-1.09]	Affymetrix, Illumina [9005918] (imputed)	N
7	rs11682175	2	57987593	rs11682175	2016-07-23	26198764	Goes FS	2015-07-21	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/26198764	Genome-wide association study of schizophrenia in Ashkenazi Jews.	Schizophrenia	592 Ashkenazi Jewish ancestry cases, 505 Ashkenazi Jewish ancestry controls, 36,989 cases, 113,075 controls	NA	2p16.1	NR	LOC105374697 - ACTG1P22	105374697	100131953		33549	4496	rs11682175-C	rs11682175	0	11682175	intron_variant	1	NR	1E-12	12.0		1.0752687	[NR]	Illumina [7158791] (imputed)	N
7	rs11682175	2	57987593	rs11682175	2017-08-16	28540026	Anney RJL	2017-05-22	Mol Autism	www.ncbi.nlm.nih.gov/pubmed/28540026	Meta-analysis of GWAS of over 16,000 individuals with autism spectrum disorder highlights a novel locus at 10q24.32 and a significant overlap with schizophrenia.	Autism spectrum disorder or schizophrenia	schizophrenia cases and controls (see Ripke, 2014), up to 6,197 European ancestry ASD cases, up to 7,377 European ancestry controls, up to 1,190 ASD cases, up to 1,190 controls	NA	2p16.1	FANCL, VRK2	LOC105374697 - ACTG1P22	105374697	100131953		33549	4496	rs11682175-?	rs11682175	0	11682175	intron_variant	1		1E-12	12.0		1.0752687	[1.05-1.09]	Affymetrix, Illumina [NR]	N
7	rs11682175	2	57987593	rs11682175	2018-07-11	29700475	Wray NR	2018-04-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29700475	Genome-wide association analyses identify 44 risk variants and refine the genetic architecture of major depression.	Depression	135,458 European ancestry cases, 344,901 European ancestry controls	NA	2p16.1	VRK2	LOC105374697 - ACTG1P22	105374697	100131953		33549	4496	rs11682175-C	rs11682175	0	11682175	intron_variant	1	0.48	5E-9	8.301029995663981		1.0309278	[1.02-1.04]	NR [9622763] (imputed)	N
7	rs11682175	2	57988194	rs11688767	2018-10-31	29942085	Nagel M	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942085	Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.	Depression	688,809 European ancestry individuals	NA	2p16.1	NR	LOC105374697 - ACTG1P22	105374697	100131953		34150	3895	rs11688767-A	rs11688767	0	11688767	intron_variant	1	NR	3E-8	7.522878745280337		5.533	z score decrease	Affymetrix [10847151] (imputed)	N
7	rs11682175	2	57988194	rs11688767	2018-10-31	29942085	Nagel M	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942085	Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.	Neuroticism	449,484 European ancestry individuals	NA	2p16.1	NR	LOC105374697 - ACTG1P22	105374697	100131953		34150	3895	rs11688767-A	rs11688767	0	11688767	intron_variant	1	NR	2E-8	7.698970004336019		5.655	z score decrease	Affymetrix [10847151] (imputed)	N
7	rs11682175	2	58041936	rs2717046	2018-07-19	29728651	Li X	2018-04-27	Neuropsychopharmacology	www.ncbi.nlm.nih.gov/pubmed/29728651	Common variants on 6q16.2, 12q24.31 and 16p13.3 are associated with major depressive disorder.	Major depressive disorder	84,847 European ancestry cases,  241,266 European ancestry controls, 5,303 Han Chinese ancestry cases, 5,337 Han Chinese ancestry controls	2,659 European ancestry cases, 17,237 European ancestry controls	2p16.1	NR	LOC105377628 - VRK2	105377628	7444		26749	92850	rs2717046-T	rs2717046	0	2717046	intergenic_variant	1	0.367	1E-8	8.0		1.034	[NR]	Affymetrix, Illumina [at least 1235109] (imputed)	N
